,dec_0_self_dot_ratio_norm,dec_1_self_dot_ratio_norm,dec_2_self_dot_ratio_norm,dec_3_self_dot_ratio_norm,dec_4_self_dot_ratio_norm,dec_5_self_dot_ratio_norm,dec_6_self_dot_ratio_norm,dec_7_self_dot_ratio_norm,dec_8_self_dot_ratio_norm,dec_9_self_dot_ratio_norm,dec_10_self_dot_ratio_norm,dec_11_self_dot_ratio_norm,dec_12_self_dot_ratio_norm,dec_13_self_dot_ratio_norm,dec_14_self_dot_ratio_norm,dec_15_self_dot_ratio_norm
80,0.00187726,0.0018768527,0.001876704,0.0018773086,0.001876866,0.0018768776,0.0018770444,0.0018768073,0.0018767435,0.0018766714,0.0018778135,0.0018768002,0.0018771259,0.0018768612,0.001876763,0.0018759862
81,0.0019003366,0.0019011569,0.0019009295,0.0019003418,0.0019009942,0.0019000198,0.0019003219,0.0019011885,0.0019010302,0.0019011801,0.0019007266,0.0019009693,0.0019009166,0.0019011014,0.0019007034,0.0019008073
82,0.0019006729,0.0019004928,0.0018999677,0.0019002944,0.0019003237,0.0018997779,0.0019003006,0.0019012018,0.0019003724,0.0019000625,0.0019007135,0.0019005215,0.0019005783,0.0019000351,0.0019005986,0.0019002749
83,0.0018872864,0.0018872519,0.0018876954,0.0018872207,0.0018879109,0.0018876222,0.0018873196,0.0018872009,0.0018877917,0.0018872003,0.001887336,0.0018875775,0.0018874183,0.001887982,0.001887364,0.001887156
84,0.001886105,0.0018863563,0.0018864553,0.0018865917,0.0018863274,0.0018859715,0.001886029,0.0018856921,0.0018862252,0.0018858056,0.0018860862,0.0018863159,0.0018862364,0.0018859776,0.001885586,0.0018857408
85,0.0018814957,0.001881547,0.0018814589,0.001881894,0.0018814676,0.0018813265,0.0018813226,0.001881359,0.0018818517,0.0018817032,0.0018812725,0.0018813441,0.0018813966,0.0018808752,0.0018813126,0.0018814773
86,0.0018894846,0.0018895109,0.0018893726,0.0018888462,0.0018894589,0.001889327,0.0018894236,0.0018892833,0.0018893771,0.001889357,0.0018891661,0.0018887446,0.0018893769,0.0018892568,0.0018890306,0.0018891821
87,0.0018846202,0.0018844749,0.0018845813,0.0018847694,0.0018847248,0.0018845014,0.0018843443,0.0018846833,0.0018847955,0.0018845453,0.001884299,0.0018849849,0.0018846948,0.0018843684,0.0018846606,0.0018843128
88,0.00188431,0.0018839873,0.0018843458,0.0018837879,0.0018841448,0.0018835618,0.0018842773,0.0018837753,0.0018843228,0.001883766,0.0018844629,0.0018842247,0.0018844323,0.001884159,0.0018840726,0.0018841035
89,0.0018895383,0.0018897939,0.0018895229,0.0018894064,0.0018891775,0.0018895831,0.0018893168,0.0018896805,0.0018891802,0.001889209,0.0018898025,0.0018894303,0.0018891359,0.0018889541,0.0018892718,0.0018889745
90,0.0018926597,0.0018923593,0.0018923999,0.0018925141,0.0018926223,0.0018926215,0.0018924089,0.0018921752,0.001892243,0.0018917967,0.0018921172,0.0018922987,0.0018919026,0.0018926114,0.0018920507,0.0018921756
91,0.0018797191,0.0018787803,0.0018792935,0.0018790702,0.0018792668,0.0018789612,0.0018794574,0.0018788392,0.001879386,0.0018796818,0.0018791902,0.001879261,0.0018791971,0.001879374,0.0018794248,0.0018791918
92,0.0018749754,0.0018744875,0.0018749051,0.0018747746,0.0018746532,0.0018746915,0.0018749288,0.0018751728,0.001874916,0.0018749178,0.0018750303,0.0018746809,0.0018749939,0.001874875,0.0018747718,0.0018747315
93,0.0018927123,0.0018924446,0.0018922696,0.0018926722,0.001892333,0.001892107,0.0018918901,0.001892003,0.0018927987,0.0018926106,0.0018922951,0.0018927213,0.0018931278,0.001892302,0.0018926575,0.001892498
94,0.0018764266,0.0018763281,0.0018762946,0.001875551,0.0018755675,0.0018764124,0.001876553,0.001876134,0.0018762106,0.0018758867,0.0018761547,0.0018759994,0.001876094,0.0018762128,0.0018762074,0.001875533
95,0.001875771,0.0018760507,0.0018755712,0.001875608,0.0018752838,0.0018751958,0.0018759662,0.0018755966,0.0018755808,0.0018753125,0.0018755655,0.0018753599,0.0018750323,0.0018758427,0.0018752137,0.0018757246
96,0.001880375,0.0018800154,0.0018807022,0.0018802772,0.0018803113,0.001879907,0.0018802698,0.001880357,0.0018802079,0.0018802847,0.001879882,0.0018805125,0.0018807518,0.0018801531,0.0018799755,0.0018803927
97,0.0018890058,0.0018890677,0.0018886336,0.0018890869,0.0018891542,0.0018892639,0.0018885618,0.001888696,0.0018892512,0.0018883031,0.0018892,0.0018895145,0.0018890756,0.0018891058,0.0018888613,0.0018887433
98,0.0018762704,0.0018766561,0.0018770397,0.0018759919,0.0018763985,0.0018763023,0.0018762043,0.0018763497,0.0018767096,0.0018762317,0.0018764576,0.0018766164,0.0018766471,0.0018766676,0.0018771135,0.001876312
99,0.0018897915,0.0018900788,0.0018898726,0.0018896754,0.0018904778,0.0018902551,0.0018898745,0.0018894912,0.0018903546,0.0018899078,0.0018893599,0.0018903858,0.0018902733,0.0018901128,0.0018902136,0.0018897514
100,0.001880943,0.001879529,0.0018802504,0.0018799908,0.001880629,0.0018802115,0.0018799945,0.0018802503,0.0018800871,0.0018804914,0.0018801225,0.0018803211,0.0018799398,0.0018800979,0.0018801428,0.0018803775
101,0.0018810424,0.0018810795,0.0018806771,0.0018812132,0.0018812224,0.0018814415,0.0018811885,0.0018811304,0.0018812355,0.001881338,0.0018810198,0.0018811845,0.0018810246,0.0018808935,0.0018815062,0.0018810467
102,0.0018859002,0.0018861714,0.0018861578,0.001885825,0.0018855692,0.0018858849,0.0018863035,0.001885662,0.0018860219,0.0018858897,0.0018860258,0.0018853921,0.001885766,0.0018865383,0.0018860343,0.001885624
103,0.0018884507,0.0018886856,0.0018885918,0.0018886924,0.0018888052,0.0018891409,0.0018885328,0.0018885797,0.001889094,0.0018884963,0.0018883775,0.001888677,0.0018883225,0.0018882025,0.0018882026,0.0018886374
104,0.0018935936,0.0018934887,0.0018937557,0.0018937466,0.0018933376,0.0018939574,0.0018925937,0.0018930068,0.0018927847,0.0018935007,0.0018933499,0.0018930064,0.0018933854,0.001893134,0.0018935115,0.0018937849
105,0.0018741183,0.0018745132,0.001874564,0.0018745296,0.0018737738,0.0018748238,0.0018740632,0.0018745565,0.0018740195,0.0018741704,0.001874218,0.001874232,0.00187394,0.0018747033,0.0018733022,0.0018747725
106,0.0018797618,0.0018807567,0.0018795382,0.0018800416,0.0018801019,0.0018795285,0.0018800895,0.0018803321,0.001879993,0.0018800191,0.0018801164,0.0018803226,0.0018802077,0.0018804988,0.0018798243,0.0018795381
107,0.0018918548,0.0018916345,0.0018912149,0.0018917022,0.0018907802,0.0018912599,0.0018911915,0.0018913399,0.0018910525,0.001891481,0.0018915987,0.0018914781,0.0018913124,0.0018916421,0.0018914769,0.0018912626
108,0.0018908224,0.001891166,0.0018911017,0.0018906198,0.0018908882,0.0018904161,0.0018911274,0.001891291,0.0018905083,0.0018909767,0.0018911958,0.0018909756,0.0018913577,0.001891089,0.0018910426,0.0018905445
109,0.0018932588,0.001894216,0.0018939846,0.0018937388,0.0018939124,0.0018946269,0.0018945871,0.0018940249,0.0018943287,0.0018941072,0.0018933595,0.0018943235,0.0018943787,0.0018940312,0.0018938996,0.0018941622
