,dec_1_drift_from_origin,dec_2_drift_from_origin,dec_3_drift_from_origin,dec_4_drift_from_origin,dec_5_drift_from_origin,dec_6_drift_from_origin
315,0.42665482,0.4324137,0.44530666,0.42867422,0.43303204,0.4298889
316,0.6662686,0.68011403,0.6888363,0.66615486,0.6587916,0.6345441
317,0.25637972,0.26039255,0.2735436,0.2587484,0.25173837,0.24341565
318,0.07045829,0.07034862,0.07054442,0.068457484,0.06431204,0.05830109
319,0.8634596,0.86577195,0.88103914,0.8609133,0.86010456,0.80928874
320,0.7901723,0.7942227,0.7985688,0.7827143,0.7758446,0.7694897
321,0.14571434,0.14799589,0.15207928,0.14340019,0.1402629,0.12683588
322,0.7292868,0.72677803,0.7400631,0.71989584,0.7118847,0.6846403
323,0.7795633,0.783129,0.7925964,0.77294075,0.77309203,0.7352431
324,0.699083,0.70639896,0.72204167,0.7116616,0.7067483,0.6810814
325,0.15468442,0.16151369,0.16944402,0.15312958,0.14301866,0.13264811
326,0.9185422,0.9263902,0.9353195,0.91562986,0.9038121,0.8791232
327,0.59985965,0.6074423,0.6250298,0.6094534,0.5976944,0.59976345
328,0.62108165,0.62693113,0.639872,0.6033993,0.5431931,0.50351477
329,0.95404166,0.95800865,0.9550068,0.95187616,0.9577352,0.89283055
330,0.87681544,0.872406,0.8742604,0.8573073,0.86648774,0.8948552
331,0.8160928,0.82331944,0.82628685,0.81400585,0.80251586,0.7878935
332,0.14771587,0.1490686,0.15679246,0.14564902,0.13717812,0.12864405
333,0.8351406,0.84103054,0.85597634,0.84930164,0.8373065,0.8381734
334,0.69877356,0.69884944,0.7131398,0.69426143,0.6826839,0.6779926
335,0.8998682,0.90305173,0.8952714,0.89899766,0.9485045,0.92023337
336,0.7740738,0.77438504,0.78554666,0.76896876,0.74385214,0.7427031
337,1.0570464,1.0440286,1.0176405,1.0101273,1.0251825,1.0000756
338,0.8166285,0.82380176,0.8273136,0.83362865,0.8527059,0.829705
339,0.1296606,0.12939835,0.13482541,0.129762,0.12815863,0.12581873
340,0.71120054,0.7139435,0.7436194,0.7211406,0.72415006,0.7102918
